"month","poverty","What are the biggest challenges and concerns for you and your family right now?","What is helping you and your family the most right now?","What would you like your elected officials or other policymakers (for example, U.S. Congress, state and local leaders) to know about how your family is doing or what you need during this time?","What are the biggest challenges and concerns for you as a child care provider right now?","What is helping you as a child care provider the most right now?","What would you like your elected officials or other policymakers (for example, U.S. Congress, state and local leaders) to know about how you are doing or what you need as a child care provider during this time?","You may know that President Biden's administration and Congress have been working on the American Families Plan. How do you think the programs and funds from the American Families Plan will impact providers?","When thinking about the parent(s) of the child/children that you care for right now, what role do they play in your life?","When thinking about the child/children that you care for right now, what role do they play in your life?","What do you want federal and/or state officials that oversee funding for child care providers to know?","Has the COVID-19 surge related to Omicron impacted you and your job as a child care provider? If so, please describe how.","What changes, if any, have you noticed in how parents are thinking about and using child care for their child(ren) under 6 years of age in the last four years (since March 2020)?","Are you concerned that events occurring in the US and in the world right now (e.g., extreme weather events, political tension, conflict, etc.) are affecting the child(ren) you care for? If so, how?","How, if at all, did Hurricane Helene impact you and your ability to provide child care, and what are your most pressing needs or challenges in the aftermath of the storm?","What changes, if any, have you noticed in your community or daily life since January, and how have these affected you and your work as a child care provider?"
"2021/10","Above 400%FPL","Paying bills and being a stable family. My Job right now is really stressful and I?m having a really hard time",NA,NA,"Under staffed. Company not following rules and licensing","No one",NA,NA,NA,NA,"Some centers who are not following rules and licensing need to be looked closer at. They are choosing not to fix anything. Over working staff and putting kids at risk",NA,NA,NA,NA,NA
"2021/12","Above 400%FPL","Bills, cost of living, stress of work",NA,NA,"Funds, pay vs stress, low staffing, long hours","My family",NA,NA,"They are support, they are helping me support my life","They help me realize how important my job is","We need help",NA,NA,NA,NA,NA
"2021/11","Above 400%FPL","Making sure we have our home stuff paid. Figuring out childcare and working long hours",NA,NA,"Lack of staff and lack of concern for childcare centers and staff. Low wages.","Me",NA,NA,NA,NA,"Childcare center need funds",NA,NA,NA,NA,NA
"2021/12","Above 400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","Above 400%FPL",NA,NA,NA,"Worrying about Covid hitting my facility",NA,NA,NA,NA,NA,"We need help",NA,NA,NA,NA,NA
"2021/03","Above 400%FPL","Trying to avoid Covid exposure while working","Faith",NA,"Exposure & parents following procedures","Family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/03","Between 200-400%FPL","Rent payments","Working",NA,"Getting sick","Kids bring there",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/07","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/11","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/02","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/06","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/07","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/11","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/12","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/08","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/10","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/10","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/08","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/01","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/03","Between 200-400%FPL",NA,"Each other","Need assurance that GA Pre-K will be fully paid for next year, regardless of enrollment.","Knowing if I will keep my job","My coteacher","Keep classes open no matter the enrollment numbers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/02","Below 200%FPL","Keeping them all entertained during this","Moving to a different location","That we need","Being able to care for all the children","Family","Idk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/02",NA,NA,NA,"Need third stimulus","Low attendance, lack of ppe","Employer","Stimulus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/07",NA,"Increasing cost of housing",NA,NA,"Children being delayed due to quarantine","My employer",NA,NA,NA,NA,"Childcare is nearly unaffordable for those who provide childcare to others",NA,NA,NA,NA,NA
"2021/07",NA,NA,NA,NA,"Children?s delays due to quarantine","My employer",NA,NA,NA,NA,"Childcare is unaffordable for most",NA,NA,NA,NA,NA
"2021/11",NA,"Paying bills",NA,NA,"Under staffed, out of ratio, delayed kids due to quarantines","My employer",NA,"Unsure",NA,NA,"Childcare is over priced and under paid",NA,NA,NA,NA,NA
"2022/05",NA,NA,NA,NA,"Delays in children","My family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09",NA,"Money",NA,NA,"Quarantine kids being behind","My employer",NA,NA,NA,NA,"Childcare is unaffordable for most",NA,NA,NA,NA,NA
"2021/09",NA,"Money vs the cost of living",NA,NA,"Delays in children due to quarantine","My employer",NA,NA,NA,NA,"Childcare is unaffordable for most average families",NA,NA,NA,NA,NA
"2021/06",NA,NA,NA,NA,"Children who were quarantined for 12 plus months returning to school setting with delays or social emotional challenges.","My employer","Assistance paying for childcare ourselves. Most can not afford the same care for our own children that we provide to others.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/06",NA,NA,NA,NA,"Children returning or starting childcare after long quarantines","My employer",NA,NA,NA,NA,"Childcare needs to be more affordable for mid to low incomes.",NA,NA,NA,NA,NA
"2021/08",NA,"Money",NA,NA,"Children being delayed during to long quarantines","My employer",NA,NA,NA,NA,"Childcare is ridiculously expensive and unaffordable for normal people",NA,NA,NA,NA,NA
"2021/10",NA,"Higher bills",NA,NA,"Developmental delays due to covid","My employer",NA,NA,NA,NA,"Childcare is unaffordable for most middle class families",NA,NA,NA,NA,NA
"2022/03",NA,NA,NA,NA,"Unstable staffing, constantly over ratio","My husband",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/08",NA,"Bills too high",NA,NA,"Children being delayed due to quarantines","My employer",NA,NA,NA,NA,"Childcare cost is too high for most",NA,NA,NA,NA,NA
"2021/08","Between 200-400%FPL",NA,NA,NA,"New toys","Caffine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/07","Between 200-400%FPL","Moving",NA,NA,"Changing menu","Caffeine",NA,NA,NA,NA,"Some of menu suggestions make no sense",NA,NA,NA,NA,NA
"2022/01","Between 200-400%FPL","Twins have been sick so much! CROUP, RSV, hand foot and mouth and now COVID.  it just getting annoying to always have sick kids.",NA,NA,"Covid","Having an understanding staff who lets me stay home with sock kids.",NA,NA,NA,NA,"Help provide masks!","Yes.  We were closed this week for 4 teachers being positive.  Parents want a refund, but I want to still pay staff.",NA,NA,NA,NA
"2022/02","Between 200-400%FPL","Moving",NA,NA,"Staffing","Husband",NA,NA,NA,NA,NA,"We had to close for a week",NA,NA,NA,NA
"2021/03","Between 200-400%FPL","Caring for twins infants while going to school.","Being able to take twins to work with me.",NA,"Burn out from doing distance learning","Director",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/08","Between 200-400%FPL",NA,NA,NA,"Enrollment staffing","Grants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","Between 200-400%FPL","Medical bills.  Tuition.",NA,NA,"Challenging behaviors","Soda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/03","Between 200-400%FPL","Moving with 20 month twins",NA,NA,"Staffing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07","Between 200-400%FPL","potty training, gas prices.",NA,NA,"Cost of food for care. Staffing issues","Grants. Staff showing up",NA,NA,NA,NA,"Let us help write the ""rules'",NA,NA,NA,NA,NA
"2021/11","Between 200-400%FPL","Moving.",NA,NA,"Short staff.  No one is applying.","Husband.  Mentor",NA,NA,NA,NA,"Funds to help pay employees",NA,NA,NA,NA,NA
"2021/12","Between 200-400%FPL","Moving",NA,NA,"Staffing","Co director keeping me in check",NA,NA,"Need to keep them happy so they will stay.","Second home",NA,NA,NA,NA,NA,NA
"2021/09","Between 200-400%FPL","Rent and groceries.  Paying names bills",NA,NA,"Planning time","Soda and director.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/10","Between 200-400%FPL",NA,NA,NA,"Enrollment and staffing","Co director",NA,NA,NA,NA,"Possibly change education requirements for directors",NA,NA,NA,NA,NA
"2021/10","Between 200-400%FPL","Getting new tires.",NA,NA,"Getting used to new role as director","Husband.  Co director",NA,NA,NA,NA,"Easy to get bonus funding",NA,NA,NA,NA,NA
"2021/09","Between 200-400%FPL","Babes are sick.  I am tried being up all night with twins.",NA,NA,"Keeping kids calm","Director.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/01","Between 200-400%FPL","Finances.  Buying a home.",NA,NA,"Potty training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/11","Between 200-400%FPL","Adapting to new job and home",NA,NA,"Staffing and enrollment","Assistant husband",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/03","Above 400%FPL","Paying for food and being mentally stable","Emotional support from loved ones/","We need monthly stimulus checks simply for those with reduced hours at work that are government funded.","Keeping the child far enough apart.","Knowing that we can still hug the kids and that us caring for them is emotionally beneficial for them.","We need hazard pay for those in childcare. Without this part of the workforce the parents couldn't work at all.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/02","Above 400%FPL","Continuity of work","cutting back on extra expenses","Just because I?m still employed doesn?t mean I?m not making the same amount of money as before","Fear of getting sick and not being  able to take care of the kids and lose job","Picking up hobbies like crocheting to manage stress","We need priority for vaccines and hazard pay",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/06","Above 400%FPL","Keeping everyone safe from COVID-19 and making sure this period doesn't cause undue trauma to the children",NA,NA,"To make sure the COVID-19 pandemic does not cause undue trauma to the children I care for.","Taking small moments for myself. Engaging in self-care practices, like crocheting","Support for those caregivers who did not take time off during the pandemic.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/07","Above 400%FPL","Keeping everyone safe and healthy is the biggest thing for me",NA,NA,"Finances. Being able to work for multiple families without endangering them with covid.","Allowing myself grace and realizing that everyone is struggling because it?s a tough time",NA,NA,NA,NA,"Support those essential workers",NA,NA,NA,NA,NA
"2021/08","Above 400%FPL","Protecting the kids from the long term effects of living during a pandemic",NA,NA,"Keeping the kids safe and healthy","Family members, personal strength, religion, and hope that things will get better",NA,NA,NA,NA,"We need financial support. The employment force depends on us",NA,NA,NA,NA,NA
"2021/06","Above 400%FPL","Right now the biggest concerns are centered around staying safe as pandemic limitations are lifted.",NA,NA,"The biggest challenge is preventing the pandemic from affecting the kids from doing normal kid things. Just trying to keep their childhoods as happy as possible.","The power of hope and knowing things have to get better.z",NA,NA,NA,NA,"Childcare providers are in the trenches daily with families and children. We need resources and guidance on how to get thru the pandemic without causing trauma to our kids.",NA,NA,NA,NA,NA
"2021/07","Above 400%FPL","The opening up of the local places and trying to keep everyone safe.",NA,NA,NA,"Making sure I take part in self care practices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
