"month","poverty","child disability","family structure","What are the biggest challenges and concerns for you and your family right now?","What is helping you and your family the most right now?","What is on your mind the most when you think about your community re-opening?","What concerns do you have about your place of employment and/or your child’s child care setting re-opening?","Is there anything else you would like to tell us about you and your family’s experiences during the COVID-19 pandemic?","Now that the school year has started, we would like you to think about what resources would make things easier for you to support them. This could be technology, better internet access, more time, support etc.

If you have older children who are of school age, what are the resources that you wish you had (or need) in order to support your child’s education?","Many parents are also primarily responsible for their younger children’s early learning. If this is true of you, what additional resources would be helpful to make your child’s educational experience successful?

This could be toys, books, adult attention etc.","What would you like your elected officials or other policymakers (for example, U.S. Congress, state and local leaders) to know about how your family is doing or what you need during this time?","What would you like your employer or all employers to know about what families need during this next phase of the COVID-19 pandemic and recovery period?","Is there anything else you would like to share or add?","Are you concerned that events occurring in the US and in the world right now (e.g., extreme weather events, political tension, conflict, etc.) are affecting your child(ren)? If so, how?","Has your child(ren) said anything to you about the events that are ocurring in the US and in the world right now? If so, what are they saying?","As a parent, what are the highest priorities for you right now?","Are there supports or services that you currently rely on that help you be the kind of parent you most want to be? If so, please describe.","Are there additional supports or services that would help you to be the kind of parent you most want to be? If so, please describe.","As a parent, what are the long-term goals that you have for your child(ren) in areas such as school, friends, money, future career, or any other area?","Are there supports or services that you currently rely upon that are helpful in achieving your long-term goals for your child(ren)?","What sorts of additional supports or services would be most helpful to assist you in achieving your long-term goals for your children?","What are ways you know whether your child age 3 or under is doing really well or thriving?","As a parent, what are the highest priorities for your family right now?","Are there supports or services that you currently find most helpful for your family? If so, please describe.","Are there additional supports or services not currently available that would be helpful to your family? If so, please describe.","TIMER.B.OPEN.001_Click_Count","TIMER.B.OPEN.001_First_Click","TIMER.B.OPEN.001_Last_Click","TIMER.B.OPEN.001_Page_Submit","TIMER.OPEN.001_Click_Count","TIMER.OPEN.001_First_Click","TIMER.OPEN.001_Last_Click","TIMER.OPEN.001_Page_Submit","What are ways you know whether your child age 6 or under is doing really well or thriving?","OPEN.024","TIMER.B.OPEN.002_First_Click","TIMER.B.OPEN.002_Last_Click","TIMER.B.OPEN.002_Page_Submit","TIMER.B.OPEN.002_Click_Count","TIMER.B.OPEN.003_First_Click","TIMER.B.OPEN.003_Last_Click","TIMER.B.OPEN.003_Page_Submit","TIMER.B.OPEN.003_Click_Count","TIMER.B.OPEN.004_First_Click","TIMER.B.OPEN.004_Last_Click","TIMER.B.OPEN.004_Page_Submit","TIMER.B.OPEN.004_Click_Count"
"2023/09","200-400%FPL","With disability","Dual parents","Support in the community. Parent groups","Prayer",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,6,6.203,97.148,98.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/04","Above 400%FPL","Without disability","Non-dual parent","Moving into our permanent home and finding appropriate school for the next school year for our child. Lastly, having another baby this year so taking in additional responsibilities and finances","Prayer and proper planning",NA,NA,NA,NA,NA,"We need the child income tax credit back. In addition, we need more dependent care allowances from our income. During the pandemic the limit was increased to 10,000. Now its back to 5,000. We need the amount raised again to reduce pretax salary.",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/04","Below 200%FPL","Without disability","Non-dual parent","Income being able to survive living in Washington DC","Snap and me working",NA,NA,NA,NA,NA,"More higher paying jobs",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/04","Above 400%FPL","Without disability","Dual parents","Language development; deciding whether to remain in DC given high cost of living/housing affordability & our desires to grow our family (true even for my solidly middle class family where both parents have jobs & good finances)","Flexible & supportive employers (ability to work from home & adjust daily schedule around childcare if needed); healthy finances; supportive extended family (even though they do not live in the area); network of mom friends who provide emotional support and resources and space to listen/vent/celebrate",NA,NA,NA,NA,NA,"Support paid parental leave & affordable childcare!!! 

Our daycare (which we love!) costs as much as our mortgage. This is not sustainable.",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07","Above 400%FPL","Without disability","Dual parents","","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,1,48.851,48.851,49.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/04","Below 200%FPL","Without disability","Non-dual parent","Nothing","Different things",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/09","Below 200%FPL","Without disability","Non-dual parent","None","PEBT and tanf",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,3,2.348,35.933,37.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/04","Above 400%FPL","Without disability","Non-dual parent","Maintaining a rigid schedule of commuting to report to work in an office and school drop-off and pick-up times during the week days.
Also dealing with my three-year-old's frequent hitting and tantrum spells when he does not get his way; trying to get both extremely picky children to eat nutritious food.","Relaxing on the weekends, getting frequent physical activity, and getting sufficient sleep",NA,NA,NA,NA,NA,"I really wish parental leave would be lengthened. I also wish universal health care would be put in place to reduce reliance on a specific job for healthcare coverage and to make it less complicated. It is so complex and time-consuming to find a doctor, share health records, and get specialty care. I also wish the standard work week would be reduced to shift the balance of time slightly more towards family and personal time, because when you factor in commuting, the overwhelming majority of our time when my kids are at their youngest and neediest age is spent at a job.
We must find a way to provide public daycares and make daycare more affordable, and we must mandate public preschool in the national education system.",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024/02","Above 400%FPL","Without disability","Non-dual parent","Giving each child time and space for their different interests, finding time to get household chores done/fulfill our work and school obligations while also relaxing","Having my younger sister (my kids' aunt) living with us this year",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,55.852,128.782,130.011,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/05","Below 200%FPL","Without disability","Dual parents","Finally looking for a better paying job","Support from other family members",NA,NA,NA,NA,NA,"Better dupport programs",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/05","Above 400%FPL","Without disability","Dual parents","Adding a second child to our family without moving into a bigger space.","Our family who lives close by and can provide child and dog care when needed, abundant high quality day care in our neighborhood",NA,NA,NA,NA,NA,"We love having a lot of parks and activities for kids in our neighborhood, it makes us not want to move even though were in a small apartment",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/05","Below 200%FPL","Without disability","Non-dual parent","Clothing and food","Family",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/05","Below 200%FPL","Without disability","Non-dual parent","My son is too advanced for his grade level. We're having a hard time finding a school in our current location.

I am having am struggling to find a hire paying job to cover rent. Currently I work several jobs to cover most of the expenses. I'm behind one month of rent every month","Ebt",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/05","Above 400%FPL","Without disability","Dual parents","Cost of childcare, quality of education, lack of nearby family support, and safety of living in our neighborhood in DC (shootings; stabbings)","Our salaries and benefits from work.",NA,NA,NA,NA,NA,"Focus on safety, cost of childcare for all income brackets, and education.",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07",NA,"Without disability","Dual parents","Lack of affordable living space; living far away from family; cost of living; crime in city","Time out doors (when the air quality is okay); time with friends; working; exercising",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024/05","200-400%FPL","Without disability","Dual parents","communication with partner. reconnecting with eachother with to young children","not having financial issues",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,7,4.147,196.232,197.39,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07","200-400%FPL","Without disability","Dual parents","Communication with partner","Quality Time spent together",NA,NA,NA,NA,NA,"We shouldn't have to pause our retirement contributions to be able to afford a good, safe, near-by daycare for our child.",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/10","Below 200%FPL","Without disability","Dual parents","","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,2,1.169,4.166,4.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024/07","Below 200%FPL","Without disability","Dual parents","a financial burden paying bills and getting basic needs","",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,7,2.139,44.322,45.681,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/09","Below 200%FPL","Without disability","Dual parents","Financial and housing","Public assistance slightly",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,6,2.187,44.057,45.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024/05","Below 200%FPL","Without disability","Dual parents","","",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,1.345,3.161,4.741,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024/06","Below 200%FPL","Without disability","Dual parents","Financial","",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,1.788,12.971,13.837,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07","Below 200%FPL","Without disability","Dual parents","Financial can't afford to pay bills, worry about food and toiletries","Public assistance helps a little but not much",NA,NA,NA,NA,NA,"Need more financial help for needy families, Child tax credit laws",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024/02","Below 200%FPL","Without disability","Dual parents","Financial needs are not being met","Public assistance",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,6,2.36,32.371,33.498,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024/04","Below 200%FPL","Without disability","Dual parents","","",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,3.215,6.004,6.843,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025/01","Below 200%FPL","Without disability","Dual parents","My concern is financially trying to maintain bills and get my kids needs like clothes and shoes","Public assistance",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2.894,87.262,93.72,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024/10","Below 200%FPL","Without disability","Dual parents","","",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,1.794,1.794,2.344,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/11","Below 200%FPL","Without disability","Dual parents","","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"I talk to them",NA,"",NA,NA,NA,NA,NA,3,4.043,5.307,7.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024/03","Below 200%FPL","Without disability","Dual parents","Financial insecurity","Public assistance",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,10,1.462,25.705,26.971,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07",NA,"Without disability","Non-dual parent","Inflation","N/A",NA,NA,NA,NA,NA,"Housing is not affordable",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/09",NA,"Without disability","Dual parents","Saving for retirement & college","Strong school community of other parents",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,7,6.731,46.648,47.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07",NA,"Without disability","Dual parents","My partner is worried that we are not saving for retirement and haven?t been because he has been working on launching his startup since our son was born. I am worried about being overly committed to my work and not being present enough at home for my family.","Me taking care of my mental health and well-being by taking medical leave the last month to deal with anxiety and depression and burnout.",NA,NA,NA,NA,NA,"There is too much being expected of everyone - at work, at home. We need to find better ways to lighten the loads and take pressure off of ?productivity? and GDP so we can all just be more human.",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/12",NA,"Without disability","Dual parents","I just think prices of food should go down. Everything except salaries have gone up.","The fact that we have jobs",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,9,3.591,70.086,71.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07",NA,"Without disability","Dual parents","Cost of living and managing both kids.","Jobs and family",NA,NA,NA,NA,NA,"Monthly stipend for kids, more affordable childcare,mandatory increase of living for income",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/11",NA,"Without disability","Dual parents","Financial worries, although we are ok, costs are very high.","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"Whether they are happy, developing appropriately",NA,"",NA,NA,NA,NA,NA,3,8.273,33.078,33.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07",NA,"Without disability","Non-dual parent","Permanent housing","Faith in God, housing assistance",NA,NA,NA,NA,NA,"I would like them to know that all the affordable housing is in Redline communities. They are not ideal for a child's healthy upbringing. Housing is not equal, like one would like us to believe.",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07",NA,"Without disability","Dual parents","money","faith",NA,NA,NA,NA,NA,"lower cost of living,",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/09",NA,"Without disability","Dual parents","Money problems","Staying together",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,3,7.178,22.875,24.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07",NA,"Without disability","Non-dual parent","Finding safe and affordable housing that?s close to my son?s school or in between his and my school, and fixing my mentality about money so we have a better nest egg.","Career Maps(housing voucher) allowing me the ability to sit and take care of bettering myself and nurture my son.",NA,NA,NA,NA,NA,"Apartment living should not cost more than mortgage. The fancy stuff is overrated when families are paying 3-5k in rent plus water,electric,gas, trash, and water/sewage. The city will empty out of dwellers and become reliable on tourist all because housing is not controlled to protect people that want to live in or native to the city or;  it?s making developers rich and able to slum the city at tax dollar expense, while we?re in debt to so many entities.",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/11",NA,"Without disability","Non-dual parent","TANF and Food Stamps isn?t enough for my household to live on.","Having a voucher so my rent is taken care of as long as I?m in school.",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"Their vocabulary is expanding greatly. They are top in their class and a role model for the other students.",NA,"Yes. They provide $1000 in emergency funding.",NA,NA,NA,NA,NA,5,90.351,766.802,793.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07",NA,NA,"Non-dual parent","Medical expenses","Being positive, community resources",NA,NA,NA,NA,NA,"We need medical insurance that helps with serious conditions when we are low income. Caring doctors, Therapy for children and adults
",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07",NA,"Without disability","Non-dual parent","Falta de recursos básicos ya que el trabajo en esta época del año es muy bajo y hay menos ingresos en el hogar. Lo cual dificulta un poco a la hora de pagar la renta y comprar la comida.","Alimentos.",NA,NA,NA,NA,NA,"Ser madre soltera en este estado es algo dificil porque todo esta subiendo por la inflación.",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/08",NA,"With disability","Dual parents","My daughter has ADHD and it is extremely challenging to deal with her.  We don't have family around to support.","We have hired a babysitter to help out and deal with her, and when she is available, it's amazing",NA,NA,NA,NA,NA,"We need universal paid family and medical leave",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/08",NA,"Without disability","Dual parents","Stability - military lifestyle is very unstable. My husband deployed last year right after the birth of our child. He was absent for nearly the entire first year of our son?s life. This destabilized me as a parent and destabilized our relationship as a couple.","Not having significant financial burdens, largely supportive supervisors and work environments",NA,NA,NA,NA,NA,"Fuck Tommy Tuberville. His actions are absolutely destabilizing our national security and are jeopardizing retention. As a female officer, I am significantly concerned about the availability of reproductive health care for my future and am seriously considering leaving the military because of the added instability he and the GOP are creating. Accessing military healthcare is difficult enough. I consider it a significant risk to my family?s future if we are forced to live in an area that lacks accessible female healthcare and endangers my life.  The Hyde amendment already prevents federal funding for abortion. His actions do nothing but make it more difficult to be a female in the military and jeopardize fleet readiness. This country absolutely does not support women and families (healthcare, paid time off, breastfeeding, daycare, gun safety) and I absolutely blame the GOP for this.",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06","200-400%FPL","Without disability","Non-dual parent","My sons behavior","My income and job flexibility","Vacation time","None","No","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06","200-400%FPL","With disability","Non-dual parent","Dealing with social isolation, worry and stress due to staying home. My state has reopened but cases are skyrocketing daily and I?m terrified of going out. However, staying at home all the time is putting enormous strain on me and my children.","Counseling helps some. Going out helps more.","Health concerns.","How we will keep ourselves and our children safe and healthy!","It?s very difficult to deal with no work and not going out for months on end.","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
